year,county,note
1929,Kerry,National League + All-Ireland in the same year
1931,Kerry,National League + All-Ireland in the same year
1932,Kerry,National League + All-Ireland in the same year
1936,Mayo,National League + All-Ireland in the same year
1948,Cavan,National League + All-Ireland in the same year
1958,Dublin,National League + All-Ireland in the same year
1959,Kerry,National League + All-Ireland in the same year
1960,Down,National League + All-Ireland in the same year
1965,Galway,National League + All-Ireland in the same year
1968,Down,National League + All-Ireland in the same year
1969,Kerry,National League + All-Ireland in the same year
1976,Dublin,National League + All-Ireland in the same year
1984,Kerry,National League + All-Ireland in the same year
1988,Meath,National League + All-Ireland in the same year
1989,Cork,National League + All-Ireland in the same year
1997,Kerry,National League + All-Ireland in the same year
2003,Tyrone,National League + All-Ireland in the same year
2004,Kerry,National League + All-Ireland in the same year
2006,Kerry,National League + All-Ireland in the same year
2009,Kerry,National League + All-Ireland in the same year
2010,Cork,National League + All-Ireland in the same year
2013,Dublin,National League + All-Ireland in the same year
2015,Dublin,National League + All-Ireland in the same year
2016,Dublin,National League + All-Ireland in the same year
2018,Dublin,National League + All-Ireland in the same year
2022,Kerry,National League + All-Ireland in the same year
2025,Kerry,National League + All-Ireland in the same year
