year,era,champion,champion_score,runner_up,runner_up_score,margin,venue,attendance,replay,captain,manager
1887,foundation,Limerick,1-04,Louth,0-03,4,Donnybrook,7000,,Denis Corbett,
1889,foundation,Tipperary,3-06,Laois,0-00,15,Inchicore,1500,,Gil Cavanagh,
1890,foundation,Cork,2-04,Wexford,0-01,9,Clonturk,1000,,Jim Power,
1891,foundation,Dublin,2-01,Cork,1-01,3,,2000,,John Kennedy,
1892,foundation,Dublin,1-04,Kerry,0-03,4,,5000,,John Kennedy,
1893,foundation,Wexford,1-01,Cork,0-01,3,Phoenix Park,1000,,Tom Hayes,
1894,foundation,Dublin,0-05,Cork,1-02,0,Thurles,10000,yes,John Kennedy,
1895,foundation,Tipperary,0-04,Meath,0-03,1,Jones' Road,8000,,Paddy Finn,
1896,foundation,Limerick,1-05,Dublin,0-07,1,,3500,,Con Fitzgerald,
1897,foundation,Dublin,2-06,Cork,0-02,10,,4000,,P. J. Walsh,
1898,foundation,Dublin,2-08,Waterford,0-04,10,Tipperary,1000,,Matt Rea,
1899,foundation,Dublin,1-10,Cork,0-06,7,Jones' Road,2000,,Matt Rea,
1900,foundation,Tipperary,3-07,London,0-02,14,,2000,,Jack Tobin,
1901,foundation,Dublin,0-14,London,0-02,12,,2000,,Jack Darcy,
1902,foundation,Dublin,2-08,London,0-04,10,Cork,10000,,Jack Dempsey,
1903,foundation,Kerry,0-11,London,0-03,8,Jones' Road,10000,,Thady Gorman,
1904,foundation,Kerry,0-05,Dublin,0-02,3,Cork,10000,,Austin Stack,
1905,foundation,Kildare,1-07,Kerry,0-05,5,Thurles,15000,,Jack Murray,
1906,foundation,Dublin,0-05,Cork,0-04,1,Athy,8000,,Jack Grace,
1907,foundation,Dublin,0-06,Cork,0-02,4,Tipperary,5000,,Jack Grace,
1908,foundation,Dublin,1-10,London,0-04,9,Jones' Road,10000,,Dave Kelleher,
1909,foundation,Kerry,1-09,Louth,0-06,6,,16000,,Tom Costelloe,
1910,foundation,Louth,,Kerry,,,Jones' Road,,,Larry McCormack,
1911,foundation,Cork,6-06,Antrim,1-02,19,Jones' Road,11000,,Mick Mehigan,
1912,foundation,Louth,1-07,Antrim,1-02,5,,13000,,Jim Smith,
1913,foundation,Kerry,2-02,Wexford,0-03,5,Croke Park,17000,,Dick Fitzgerald,
1914,foundation,Kerry,2-03,Wexford,0-06,3,Croke Park,20000,,Dick Fitzgerald,
1915,foundation,Wexford,2-04,Kerry,2-01,3,Croke Park,27000,,Sean O'Kennedy,
1916,foundation,Wexford,3-04,Mayo,1-02,8,,3000,,Sean O'Kennedy,
1917,foundation,Wexford,0-09,Clare,0-05,4,,6500,,Sean O'Kennedy,
1918,foundation,Wexford,0-05,Tipperary,0-04,1,,12000,,Tom McGrath,
1919,foundation,Kildare,2-05,Galway,0-01,10,,32000,,Larry Stanley,
