rank,county,championship_points,league_points,combined_points
1,Kerry,418,56.5,474.5
2,Dublin,315,42.5,357.5
3,Mayo,253,42,295
4,Cork,258,26,284
5,Galway,258,18.5,276.5
6,Cavan,189,10.5,199.5
7,Meath,150,23.5,173.5
8,Roscommon,156,11.5,167.5
9,Kildare,123,9,132
10,Armagh,122,9.5,131.5
11,Tyrone,112,10,122
12,Tipperary,117,2,119
13,Monaghan,100,7,107
14,Down,93,13.5,106.5
15,Donegal,93,10,103
16,Derry,77,23.5,100.5
17,Offaly,80,7,87
18,Wexford,80,5.5,85.5
19,Sligo,79,5,84
20,Louth,77,4,81
21,Laois,68,8.5,76.5
22,Clare,74,2,76
23,Antrim,60,2,62
24,Leitrim,56,0.5,56.5
25,Limerick,48,2.5,50.5
26,Waterford,41,0.5,41.5
27,London,33,0,33
28,Westmeath,22,4,26
29,Fermanagh,24,1.5,25.5
30,Longford,13,3.5,16.5
31,Kilkenny,14,0,14
32,Carlow,12,1,13
33,New York,0,11,11
34,Wicklow,9,1,10
