year,format,county,province,prov_finish,ai_finish,points
1990,pre_qualifier,Armagh,Ulster,runner_up,,1
1990,pre_qualifier,Cork,Munster,champion,champion,5
1990,pre_qualifier,Donegal,Ulster,champion,semi_final_loser,3
1990,pre_qualifier,Dublin,Leinster,runner_up,,1
1990,pre_qualifier,Galway,Connacht,runner_up,,1
1990,pre_qualifier,Kerry,Munster,runner_up,,1
1990,pre_qualifier,Meath,Leinster,champion,runner_up,4
1990,pre_qualifier,Roscommon,Connacht,champion,semi_final_loser,3
1991,pre_qualifier,Donegal,Ulster,runner_up,,1
1991,pre_qualifier,Down,Ulster,champion,champion,5
1991,pre_qualifier,Kerry,Munster,champion,semi_final_loser,3
1991,pre_qualifier,Laois,Leinster,runner_up,,1
1991,pre_qualifier,Limerick,Munster,runner_up,,1
1991,pre_qualifier,Mayo,Connacht,runner_up,,1
1991,pre_qualifier,Meath,Leinster,champion,runner_up,4
1991,pre_qualifier,Roscommon,Connacht,champion,semi_final_loser,3
1992,pre_qualifier,Clare,Munster,champion,semi_final_loser,3
1992,pre_qualifier,Derry,Ulster,runner_up,,1
1992,pre_qualifier,Donegal,Ulster,champion,champion,5
1992,pre_qualifier,Dublin,Leinster,champion,runner_up,4
1992,pre_qualifier,Kerry,Munster,runner_up,,1
1992,pre_qualifier,Kildare,Leinster,runner_up,,1
1992,pre_qualifier,Mayo,Connacht,champion,semi_final_loser,3
1992,pre_qualifier,Roscommon,Connacht,runner_up,,1
1993,pre_qualifier,Cork,Munster,champion,runner_up,4
1993,pre_qualifier,Derry,Ulster,champion,champion,5
1993,pre_qualifier,Donegal,Ulster,runner_up,,1
1993,pre_qualifier,Dublin,Leinster,champion,semi_final_loser,3
1993,pre_qualifier,Kildare,Leinster,runner_up,,1
1993,pre_qualifier,Mayo,Connacht,champion,semi_final_loser,3
1993,pre_qualifier,Roscommon,Connacht,runner_up,,1
1993,pre_qualifier,Tipperary,Munster,runner_up,,1
1994,pre_qualifier,Cork,Munster,champion,semi_final_loser,3
1994,pre_qualifier,Down,Ulster,champion,champion,5
1994,pre_qualifier,Dublin,Leinster,champion,runner_up,4
1994,pre_qualifier,Leitrim,Connacht,champion,semi_final_loser,3
1994,pre_qualifier,Mayo,Connacht,runner_up,,1
1994,pre_qualifier,Meath,Leinster,runner_up,,1
1994,pre_qualifier,Tipperary,Munster,runner_up,,1
1994,pre_qualifier,Tyrone,Ulster,runner_up,,1
1995,pre_qualifier,Cavan,Ulster,runner_up,,1
1995,pre_qualifier,Cork,Munster,champion,semi_final_loser,3
1995,pre_qualifier,Dublin,Leinster,champion,champion,5
1995,pre_qualifier,Galway,Connacht,champion,semi_final_loser,3
1995,pre_qualifier,Kerry,Munster,runner_up,,1
1995,pre_qualifier,Mayo,Connacht,runner_up,,1
1995,pre_qualifier,Meath,Leinster,runner_up,,1
1995,pre_qualifier,Tyrone,Ulster,champion,runner_up,4
1996,pre_qualifier,Cork,Munster,runner_up,,1
1996,pre_qualifier,Down,Ulster,runner_up,,1
1996,pre_qualifier,Dublin,Leinster,runner_up,,1
1996,pre_qualifier,Galway,Connacht,runner_up,,1
1996,pre_qualifier,Kerry,Munster,champion,semi_final_loser,3
1996,pre_qualifier,Mayo,Connacht,champion,runner_up,4
1996,pre_qualifier,Meath,Leinster,champion,champion,5
1996,pre_qualifier,Tyrone,Ulster,champion,semi_final_loser,3
1997,pre_qualifier,Cavan,Ulster,champion,semi_final_loser,3
1997,pre_qualifier,Clare,Munster,runner_up,,1
1997,pre_qualifier,Derry,Ulster,runner_up,,1
1997,pre_qualifier,Kerry,Munster,champion,champion,5
1997,pre_qualifier,Mayo,Connacht,champion,runner_up,4
1997,pre_qualifier,Meath,Leinster,runner_up,,1
1997,pre_qualifier,Offaly,Leinster,champion,semi_final_loser,3
1997,pre_qualifier,Sligo,Connacht,runner_up,,1
1998,pre_qualifier,Derry,Ulster,champion,semi_final_loser,3
1998,pre_qualifier,Donegal,Ulster,runner_up,,1
1998,pre_qualifier,Galway,Connacht,champion,champion,5
1998,pre_qualifier,Kerry,Munster,champion,semi_final_loser,3
1998,pre_qualifier,Kildare,Leinster,champion,runner_up,4
1998,pre_qualifier,Meath,Leinster,runner_up,,1
1998,pre_qualifier,Roscommon,Connacht,runner_up,,1
1998,pre_qualifier,Tipperary,Munster,runner_up,,1
1999,pre_qualifier,Armagh,Ulster,champion,semi_final_loser,3
1999,pre_qualifier,Cork,Munster,champion,runner_up,4
1999,pre_qualifier,Down,Ulster,runner_up,,1
1999,pre_qualifier,Dublin,Leinster,runner_up,,1
1999,pre_qualifier,Galway,Connacht,runner_up,,1
1999,pre_qualifier,Kerry,Munster,runner_up,,1
1999,pre_qualifier,Mayo,Connacht,champion,semi_final_loser,3
1999,pre_qualifier,Meath,Leinster,champion,champion,5
2000,pre_qualifier,Armagh,Ulster,champion,semi_final_loser,3
2000,pre_qualifier,Clare,Munster,runner_up,,1
2000,pre_qualifier,Derry,Ulster,runner_up,,1
2000,pre_qualifier,Dublin,Leinster,runner_up,,1
2000,pre_qualifier,Galway,Connacht,champion,runner_up,4
2000,pre_qualifier,Kerry,Munster,champion,champion,5
2000,pre_qualifier,Kildare,Leinster,champion,semi_final_loser,3
2000,pre_qualifier,Leitrim,Connacht,runner_up,,1
2001,qualifier,Cavan,Ulster,runner_up,,1
2001,qualifier,Cork,Munster,runner_up,,1
2001,qualifier,Derry,Ulster,,semi_final_loser,3
2001,qualifier,Dublin,Leinster,champion,quarter_final_loser,2
2001,qualifier,Galway,Connacht,,champion,5
2001,qualifier,Kerry,Munster,champion,semi_final_loser,3
2001,qualifier,Mayo,Connacht,runner_up,,1
2001,qualifier,Meath,Leinster,runner_up,runner_up,4
2001,qualifier,Roscommon,Connacht,champion,quarter_final_loser,2
2001,qualifier,Tyrone,Ulster,champion,quarter_final_loser,2
2001,qualifier,Westmeath,Leinster,,quarter_final_loser,2
2002,qualifier,Armagh,Ulster,champion,champion,5
2002,qualifier,Cork,Munster,champion,semi_final_loser,3
2002,qualifier,Donegal,Ulster,runner_up,quarter_final_loser,2
2002,qualifier,Dublin,Leinster,champion,semi_final_loser,3
2002,qualifier,Galway,Connacht,champion,quarter_final_loser,2
2002,qualifier,Kerry,Munster,,runner_up,4
2002,qualifier,Kildare,Leinster,runner_up,,1
2002,qualifier,Mayo,Connacht,,quarter_final_loser,2
2002,qualifier,Sligo,Connacht,runner_up,quarter_final_loser,2
2002,qualifier,Tipperary,Munster,runner_up,,1
2003,qualifier,Armagh,Ulster,,runner_up,4
2003,qualifier,Donegal,Ulster,,semi_final_loser,3
2003,qualifier,Down,Ulster,runner_up,,1
2003,qualifier,Fermanagh,Ulster,,quarter_final_loser,2
2003,qualifier,Galway,Connacht,champion,quarter_final_loser,2
2003,qualifier,Kerry,Munster,champion,semi_final_loser,3
