county,ai_titles,ai_runner_ups,ai_semi_finals,provincial_titles,provincial_runner_ups
Kerry,39,24,25,86,25
Dublin,31,13,16,64,22
Galway,9,15,22,50,33
Cork,7,16,17,37,52
Meath,7,9,7,20,24
Cavan,5,6,28,40,22
Wexford,5,3,3,10,14
Down,5,1,7,12,16
Kildare,4,5,5,13,24
Tyrone,4,3,12,16,9
Tipperary,4,1,7,9,18
Mayo,3,15,30,48,38
Offaly,3,3,4,10,9
Louth,3,3,3,9,16
Roscommon,2,3,15,23,26
Armagh,2,3,8,14,25
Donegal,2,2,7,12,15
Limerick,2,0,0,1,14
Derry,1,1,9,9,10
London,0,5,3,0,1
Antrim,0,2,7,9,11
Laois,0,2,3,6,15
Monaghan,0,1,14,15,13
Clare,0,1,1,2,18
Waterford,0,1,0,1,9
Sligo,0,0,2,3,16
Kilkenny,0,0,2,2,5
Leitrim,0,0,2,2,10
Carlow,0,0,1,1,2
Longford,0,0,1,1,1
Westmeath,0,0,0,1,4
Fermanagh,0,0,1,0,6
