county,foundation era (1887-1927),Sam Maguire knockout (1928-1989),pre-qualifier (1990-2000),"qualifier/back-door (2001-17, 2022)",Super 8s (2018-19),COVID knockout (2020-21),round-robin (2023-25),total
Kerry,78,204,23,69,6,3,12,395
Dublin,94,94,20,56,10,8,9,291
Galway,46,119,15,26,4,2,7,219
Mayo,48,88,20,44,3,8,4,215
Cork,53,90,20,39,3,2,4,211
Cavan,44,104,4,3,0,3,2,160
Meath,8,66,22,15,2,1,4,118
Roscommon,21,58,9,12,4,0,4,108
Kildare,29,32,9,17,2,1,1,91
Tyrone,1,24,8,39,7,5,6,90
Armagh,14,30,7,24,0,0,9,84
Monaghan,28,23,0,11,3,1,6,72
Down,0,47,12,8,0,0,1,68
Donegal,0,13,11,29,4,1,8,66
Tipperary,41,11,3,4,0,3,0,62
Wexford,48,9,0,4,0,0,0,61
Louth,25,24,0,1,0,0,4,54
Derry,1,21,11,12,0,0,6,51
Offaly,1,43,3,1,0,0,0,48
Antrim,32,9,0,1,0,0,0,42
Laois,4,23,1,10,1,0,0,39
London,31,0,0,1,0,0,0,32
Clare,13,5,5,5,0,0,3,31
Limerick,15,2,1,7,1,0,0,26
Sligo,2,14,1,7,0,0,1,25
Leitrim,4,7,4,1,0,0,0,16
Fermanagh,1,3,0,8,1,0,0,13
Kilkenny,13,0,0,0,0,0,0,13
Waterford,9,4,0,0,0,0,0,13
Westmeath,0,2,0,8,0,0,2,12
Carlow,0,5,0,0,0,0,0,5
Longford,0,4,0,0,0,0,0,4
Wicklow,1,0,0,0,0,0,0,1
New York,0,0,0,0,0,0,0,0
